Table 1
Subject,PUNISH_MEAN_MEDIAN_RT_LARGER,PUNISH_MEAN_MEDIAN_RT_SMALLER,REWARD_MEAN_MEDIAN_RT_LARGER,REWARD_MEAN_MEDIAN_RT_SMALLER
297,334.5,311,373,331.25
298,218.5,399.75,254.75,239.75
299,291,256.75,302,309.5
300,234.5,276,221.75,216.5
301,484.75,476.5,431,519
302,418.25,444.5,445.75,441.75
303,481.5,425,530.5,444
304,383.25,394,326,346.5
305,573.75,744,568.25,649.75
306,384,276,479.5,385.25
307,278,330.75,319.25,346.75
308,322.75,386.5,366.5,408
309,282.25,298,369.75,322
310,383,372.75,374,405.25
311,736.75,612,775.75,626.5
312,427.75,475.5,407.75,416.5
313,377.5,316.5,291,345
314,383.75,285.25,421.5,465
315,689.5,591,570.5,571.25
316,563,532,591.25,526.75
317,295,300.75,387.5,430.25
318,337.75,330.25,367.5,303.25
319,377.75,399.75,410,405
320,833.5,708.5,629,612.5
321,448,569.75,522,483.75
322,244.5,255.5,236.25,240.5
323,220.75,275.25,225,246
324,329,422.5,320.75,376
325,329.75,309.75,331.25,390
326,347,347.25,444,362
327,493.75,425.5,521.5,519.5
328,216.5,277.5,282,373.25
329,227.75,231.75,,280
330,328.25,339.5,306.75,385.5
331,231.75,343.5,266.5,310.5
332,376.25,363,376,440.5
333,251,290.25,335.25,277.75
334,266.5,387,257,330.5
335,450,519.5,486.5,521.25
336,360,343.75,357.25,401.25
337,640,585,585.25,634.75
338,309,220.5,328.5,291.5
